(126, 32, 31, 'entropy', 'weighted', 'log2') -0.04340815767862043
(124, 48, 21, 'gini', 'weighted', 'log2') -0.04376839237057231
(76, 26, 40, 'gini', 'weighted', 'log2') -0.04382810368349259
(131, 49, 24, 'entropy', 'weighted', 'log2') -0.04385181149550545
(68, 27, 14, 'gini', 'weighted', 'log2') -0.0438598901098902
(88, 48, 36, 'gini', 'weighted', 'sqrt') -0.043915055812687315
(67, 13, 29, 'entropy', 'weighted', 'sqrt') -0.04412397395980756
(76, 24, 22, 'entropy', 'weighted', 'sqrt') -0.04414364640883989
(143, 50, 27, 'entropy', 'weighted', 'log2') -0.044208378672470156
(91, 32, 19, 'gini', 'weighted', 'log2') -0.04423700852350847
(122, 43, 39, 'entropy', 'weighted', 'sqrt') -0.04424482006543085
(112, 22, 10, 'gini', 'weighted', 'sqrt') -0.044354575163398795
(82, 39, 32, 'gini', 'weighted', 'log2') -0.04437636165577353
(135, 39, 12, 'gini', 'weighted', 'sqrt') -0.04438672831112326
(58, 45, 24, 'gini', 'weighted', 'sqrt') -0.04441936361164005
(106, 27, 11, 'entropy', 'weighted', 'sqrt') -0.044475817724350074
(79, 28, 34, 'entropy', 'weighted', 'log2') -0.04447655398037085
(109, 37, None, 'entropy', 'weighted', 'log2') -0.04450040838551602
(146, 34, 13, 'entropy', 'weighted', 'log2') -0.04450068027210893
(115, 14, 32, 'entropy', 'weighted', 'log2') -0.044601143479444605
(83, 36, 29, 'entropy', 'weighted', 'log2') -0.044620614631493104
(111, 15, 13, 'entropy', 'weighted', 'log2') -0.04467125171939488
(63, 32, 21, 'gini', 'weighted', 'sqrt') -0.044693877551020555
(145, 42, 37, 'gini', 'weighted', 'log2') -0.04473340587595223
(14, 19, 18, 'gini', 'weighted', 'log2') -0.04487496564990389
(23, 8, 28, 'entropy', 'weighted', 'log2') -0.044951007076755735
(103, 10, 30, 'gini', 'weighted', 'log2') -0.04517411571154384
(24, 38, 28, 'gini', 'weighted', 'log2') -0.04527093596059118
(145, 50, 22, 'entropy', 'weighted', 'sqrt') -0.04529716466739373
(49, 20, 33, 'gini', 'weighted', 'log2') -0.0453932584269664
(54, 46, 22, 'entropy', 'weighted', 'log2') -0.04553712265433792
(94, 21, 12, 'gini', 'weighted', 'sqrt') -0.04557791677998379
(67, 38, 13, 'gini', 'weighted', 'log2') -0.045614798694232975
(80, 39, 24, 'entropy', 'weighted', 'sqrt') -0.04563774816426437
(42, 23, 26, 'entropy', 'weighted', 'log2') -0.04575914800655389
(86, 44, None, 'entropy', 'weighted', 'log2') -0.04585811732605742
(135, 35, 24, 'entropy', 'weighted', 'sqrt') -0.04591230936819178
(121, 36, 40, 'gini', 'weighted', 'log2') -0.046133553173948974
(91, 41, 28, 'gini', 'weighted', 'log2') -0.04617414965986398
(119, 40, 13, 'gini', 'weighted', 'sqrt') -0.04623298856831796
(65, 24, 39, 'gini', 'weighted', 'log2') -0.04623497267759578
(111, 42, 10, 'entropy', 'weighted', 'sqrt') -0.04626328699918239
(75, 24, 33, 'gini', 'weighted', 'log2') -0.04630155695165272
(116, 50, 10, 'gini', 'weighted', 'log2') -0.04631192161132292
(10, 3, 17, 'entropy', 'weighted', 'sqrt') -0.046318574213311106
(96, 39, 20, 'entropy', 'weighted', 'sqrt') -0.04633841131664865
(85, 4, 25, 'gini', 'weighted', 'sqrt') -0.046448777808294504
(98, 21, 20, 'entropy', 'weighted', 'sqrt') -0.04650612244897967
(113, 18, 25, 'gini', 'weighted', 'sqrt') -0.0465179542981503
(132, 35, 35, 'gini', 'weighted', 'sqrt') -0.0465241078725144
(108, 35, 40, 'entropy', 'weighted', 'sqrt') -0.04653238976592275
(18, 23, 12, 'entropy', 'weighted', 'log2') -0.046569863013698844
(87, 46, 21, 'entropy', 'weighted', 'sqrt') -0.046595570139458635
(35, 42, 24, 'entropy', 'weighted', 'sqrt') -0.04661307901907359
(86, 29, 30, 'entropy', 'weighted', 'log2') -0.04667121791370844
(62, 37, 12, 'entropy', 'weighted', 'log2') -0.04673103073157475
(98, 39, 25, 'entropy', 'weighted', 'sqrt') -0.04675462459194791
(41, 31, None, 'gini', 'weighted', 'log2') -0.04675786593707258
(135, 16, 10, 'gini', 'weighted', 'log2') -0.0467864923747278
(80, 32, 13, 'entropy', 'weighted', 'sqrt') -0.046999449944994616
(133, 31, 15, 'entropy', 'weighted', 'log2') -0.04702237991266384
(57, 37, 10, 'gini', 'weighted', 'sqrt') -0.04703887510339124
(145, 28, 37, 'gini', 'weighted', 'log2') -0.04716867469879529
